年度,鄉鎮,段名,地號,公告土地現值
112,2,18,4590000,4600
112,2,18,4590001,10903
112,2,18,4590002,4600
112,2,18,4590003,4600
112,2,18,4590004,4600
112,2,18,4600000,4600
112,2,18,4600001,10903
112,2,18,4610000,4300
112,2,18,4620000,4300
112,2,18,4630000,4300
112,2,18,4640000,4300
112,2,18,4650000,4300
112,2,18,4660000,4300
112,2,18,4670000,4300
112,2,18,4680000,4300
112,2,18,4690000,4300
112,2,18,4700000,4300
112,2,18,4710000,4300
112,2,18,4720000,4300
112,2,18,4730000,4300
112,2,18,4740000,4300
112,2,18,4750000,4300
112,2,18,4750001,4300
112,2,18,4760000,4300
112,2,18,4770000,4300
112,2,18,4780000,4300
112,2,18,4790000,4300
112,2,18,4790001,4300
112,2,18,4790002,4300
112,2,18,4790003,4300
112,2,18,4790004,4300
112,2,18,4790005,4300
112,2,18,4790006,4300
112,2,18,4790007,4300
112,2,18,4790008,4300
112,2,18,4790009,4300
112,2,18,4790010,4300
112,2,18,4790011,4300
112,2,18,4790012,4300
112,2,18,4790013,4300
112,2,18,4790014,4300
112,2,18,4790015,4300
112,2,18,4790016,4300
112,2,18,4790017,4300
112,2,18,4790018,4300
112,2,18,4790019,4300
112,2,18,4790020,4300
112,2,18,4790021,4300
112,2,18,4790022,4300
112,2,18,4790023,4300
112,2,18,4790024,4300
112,2,18,4790025,4300
112,2,18,4790026,4300
112,2,18,4790027,4300
112,2,18,4790028,4300
112,2,18,4790029,4300
112,2,18,4790030,4300
112,2,18,4790031,4300
112,2,18,4790032,4300
112,2,18,4790033,4300
112,2,18,4790034,4300
112,2,18,4800000,4300
112,2,18,4800001,4300
112,2,18,4810000,4300
112,2,18,4820000,4300
112,2,18,4830000,4300
112,2,18,4840000,4300
112,2,18,4850000,4300
112,2,18,4860000,4300
112,2,18,4870000,4300
112,2,18,4880000,4300
112,2,18,4890000,4300
112,2,18,4900000,4300
112,2,18,4910000,4600
112,2,18,4910001,10903
112,2,18,4920000,4600
112,2,18,4920001,10903
112,2,18,4930000,4300
112,2,18,4940000,4300
112,2,18,4950000,4300
112,2,18,4960000,4300
112,2,18,4970000,4300
112,2,18,4980000,4300
112,2,18,4990000,4300
112,2,18,5000000,4300
112,2,18,5010000,4300
112,2,18,5020000,4300
112,2,18,5030000,4300
112,2,18,5060000,4300
112,2,18,5070000,4300
112,2,18,5120000,4300
112,2,18,5130000,4300
112,2,18,5140000,4300
112,2,18,5150000,4300
112,2,18,5160000,4300
112,2,18,5170000,4300
112,2,18,5180000,4300
112,2,18,5190000,4300
112,2,18,5200000,4300
112,2,18,5210000,4300
112,2,18,5220000,4300
112,2,18,5230000,4600
112,2,18,5230001,10903
112,2,18,5240000,4600
112,2,18,5240001,10903
112,2,18,5250000,4300
112,2,18,5260000,4300
112,2,18,5270000,4300
112,2,18,5280000,4300
112,2,18,5290000,4300
112,2,18,5300000,4300
112,2,18,5300001,4300
112,2,18,5300002,4300
112,2,18,5310000,4300
112,2,18,5320000,4300
112,2,18,5330000,4300
112,2,18,5340000,4300
112,2,18,5350000,4300
112,2,18,5440000,4300
112,2,18,5450000,4300
112,2,18,5450001,4300
112,2,18,5460000,4300
112,2,18,5470000,4300
112,2,18,5480000,4300
112,2,18,5490000,4300
112,2,18,5500000,4300
112,2,18,5510000,4300
112,2,18,5520000,4300
112,2,18,5530000,4300
112,2,18,5540000,4300
112,2,18,5550000,4600
112,2,18,5550001,10903
112,2,18,5560000,4600
112,2,18,5560001,10903
112,2,18,5570000,4300
112,2,18,5580000,4300
112,2,18,5590000,4300
112,2,18,5600000,4300
112,2,18,5610000,4300
112,2,18,5620000,4300
112,2,18,5630000,4300
112,2,18,5640000,4300
112,2,18,5650000,4300
112,2,18,5660000,4300
112,2,18,5670000,4300
112,2,18,5760000,4300
112,2,18,5770000,4300
112,2,18,5780000,4300
112,2,18,5790000,4300
